Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C23, C24",0402,4,1uF,
"C11, C12, C17, C2, C20, C21, C22, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C38, C39, C4, C40, C5, C6, C7, C8, C9",0402,29,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
"C18, C19",0402,2,15pF,
C37,0805,1,470pF,
"FB1, FB2, FB3, FB4",0603,4,FerriteBead,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
J3,PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J6,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_Hanrun_HR911105A_Horizontal,
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R13, R16, R7, R9",0402,7,10K,
R15,0402,1,12K,
"R3, R4",0402,2,22,
"R5, R6, R8",0402,3,1K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,QFN64_ML_MCH,1,LAN9250/ML,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25 MHz,
